1,1,2017-07-28,9:1:29,319,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600E73C78F30000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D3204AC1F62C50C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,321
2,2,2017-07-28,9:31:35,680,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600BF9EC8360000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701080027FBE75D3204AC1F62C50C0F4445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,301
3,3,2017-07-28,9:31:35,758,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600BF9EC8360000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D3204AC1F62C53604AC1F62010C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,327
4,4,2017-07-28,9:56:2,337,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600062A80070000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D3204AC1F62C50C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,321
5,5,2017-07-28,9:56:2,400,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,0101060087A9712F0000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701080027FBE75D0C0F4445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF0000000000,300
6,6,2017-07-28,9:56:3,380,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,0101060087A9712F0000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D32040A1016B536048C8E05550C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,327
7,7,2017-07-28,10:34:34,794,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,0101060023BF86220000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D32040A1016B50C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,321
8,8,2017-07-28,10:34:35,85,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600C7E32BD00000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701080027FBE75D0C0F4445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF0000000000,300
9,9,2017-07-28,10:34:35,823,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,01010600C7E32BD00000000000000000000000000000000000000000080027FBE75D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027FBE75D3204C0A800193604C0A800010C0F4445534B544F502D3735305231553051120000004445534B544F502D373530523155303C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,327
10,10,2017-07-28,10:35:16,778,-7:00,0.0.0.0,68,172.31.98.197,67,UDP,RX,0101060044952F4100000000000000000000000000000000000000007CB0C25BA41400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D07017CB0C25BA414390205DC3C416468637063642D362E382E323A4C696E75782D332E31382E302D31343538322D673266613137623563383130663A7838365F36343A47656E75696E65496E74656C910101370F01792103060C0F1A1C33363A3B77FCFF,344
