1,1,2017-07-16,21:43:58,651,-7:00,192.168.0.26,68,192.168.0.25,67,UDP,RX,01010600479C644700000000C0A8001B000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501073604C0A800013D110152415320080027E06CB6000000000000FF00000000000000000000000000000000000000000000000000000000000000,300
2,2,2017-07-16,21:44:18,450,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,01010600D14C244E0000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027E06CB63204C0A8001A0C0861646D696E2D5043510B00000061646D696E2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,306
3,3,2017-07-16,21:44:18,574,-7:00,192.168.0.1,67,192.168.0.25,68,UDP,RX,02010600D14C244E0000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604C0A80001FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,548
4,4,2017-07-16,21:44:18,657,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106008904DF890000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701080027E06CB60C0861646D696E2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF00000000000000000000000000,300
5,5,2017-07-16,21:44:19,182,-7:00,192.168.0.1,67,192.168.0.25,68,UDP,RX,020106008904DF890000800000000000C0A8001B0000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501023604C0A800013304000151800104FFFFFF000304C0A800010604C0A80001FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,548
6,6,2017-07-16,21:44:19,245,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106008904DF890000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701080027E06CB63204C0A8001B3604C0A800010C0861646D696E2D5043510B00000061646D696E2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,312
7,7,2017-07-16,21:44:19,385,-7:00,192.168.0.1,67,192.168.0.25,68,UDP,RX,020106008904DF890000800000000000C0A8001B0000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501053604C0A800013304000151800104FFFFFF000304C0A800010604C0A80001FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,548
8,8,2017-07-16,21:44:21,682,-7:00,192.168.0.27,68,192.168.0.25,67,UDP,RX,010106000AF0E0FF0000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501014D0E525241532E4D6963726F736F66747401013D110152415320080027E06CB60000000000000C0861646D696E2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,316
9,9,2017-07-16,21:44:21,838,-7:00,192.168.0.1,67,192.168.0.25,68,UDP,RX,020106000AF0E0FF0000800000000000C0A8001B0000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501023604C0A8000133040001517E0104FFFFFF000304C0A800010604C0A80001FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,548
10,10,2017-07-16,21:44:21,901,-7:00,192.168.0.27,68,192.168.0.25,67,UDP,RX,010106000AF0E0FF0000800000000000000000000000000000000000080027E06CB600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501034D0E525241532E4D6963726F736F66743D110152415320080027E06CB60000000000003204C0A8001B3604C0A800010C0861646D696E2D5043510B08000061646D696E2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,338
