1,1,2017-07-15,15:3:22,311,-7:00,192.168.0.10,50463,192.168.0.25,100,TCP,RX,SYN,0
2,1,2017-07-15,15:3:32,779,-7:00,192.168.0.10,50463,192.168.0.25,100,TCP,RX,FIN,0
3,2,2017-07-15,15:3:36,513,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106007E30B172000000000000000000000000000000000000000034363B303F9200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033707017903060F77FC390205DC3D070134363B303F923204C0A8001133040076A7000C066950686F6E65FF0000000000000000000000000000,300
4,3,2017-07-15,15:3:56,201,-7:00,192.168.0.10,50464,192.168.0.25,100,TCP,RX,SYN,0
5,3,2017-07-15,15:4:29,373,-7:00,192.168.0.10,50464,192.168.0.25,100,TCP,RX,FIN,0
6,4,2017-07-15,15:8:21,810,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106001917CC000000000000000000000000000000000000000000945330570B9900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701945330570B993204C0A8000D0C0F4D61726B732D48502D4C6170746F7051120000004D61726B732D48502D4C6170746F703C084D53465420352E30370D0103060F1F212B2C2E2F79F9FCFF,321
7,5,2017-07-15,15:9:48,436,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106000A166C08001600000000000000000000000000000000000068C90BE5E7760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101330400000E100C0553594E435F3707011C02030F060C3D070100A024ABFB9CFF00000000000000000000000000000000000000000000000000,300
8,6,2017-07-15,15:9:55,608,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106000A166C08001D00000000000000000000000000000000000068C90BE5E7760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101330400000E100C0553594E435F3707011C02030F060C3D070100A024ABFB9CFF00000000000000000000000000000000000000000000000000,300
9,7,2017-07-15,15:12:40,467,-7:00,0.0.0.0,68,192.168.0.25,67,UDP,RX,010106007E30B173000000000000000000000000000000000000000034363B303F9200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033707017903060F77FC390205DC3D070134363B303F923204C0A8001133040076A7000C066950686F6E65FF0000000000000000000000000000,300
